[2015-03-20 10:08:26--281994]current cmd handler is 0,0x9f56870
[2015-03-20 10:10:13--542494]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:14--542991]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:15--581281]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:16--606726]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:17--608594]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:18--607951]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:19--608789]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:20--609363]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:21--631998]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:22--631468]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:23--632064]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:24--632322]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:25--650476]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:26--656356]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:27--662416]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:28--651180]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:29--651826]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:30--656969]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:31--682102]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:32--659055]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:33--668649]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:34--660972]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:35--662178]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:36--662247]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:37--662935]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:38--136677]current cmd handler is 2,0x9f56bb0
[2015-03-20 10:10:38--139371]recv server 8,current server connection is 2
[2015-03-20 10:10:38--663417]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:39--137936]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:39--689762]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:40--137777]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:40--689184]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:41--138724]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:41--690433]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:42--139094]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:42--690367]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:43--139449]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:43--691495]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:44--139802]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:44--695097]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:45--140446]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:45--706249]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:46--140528]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:46--706778]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:47--140934]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:47--708585]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:48--141186]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:48--708214]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:49--158683]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:49--748310]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:50--158993]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:50--776368]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:51--159489]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:51--745818]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:52--159871]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:52--746478]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:53--160216]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:53--751742]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:54--160498]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:54--764388]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:55--184607]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:55--781450]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:56--184804]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:56--782008]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:57--185995]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:57--782571]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:58--185925]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:58--783143]recv server 6 keeplive,current server is 2
[2015-03-20 10:10:59--186448]recv server 8 keeplive,current server is 2
[2015-03-20 10:10:59--783731]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:00--186756]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:00--784411]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:01--224505]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:01--784941]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:02--212428]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:02--807526]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:03--213242]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:03--807769]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:04--222263]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:04--808623]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:05--215113]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:05--808890]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:06--215597]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:06--809353]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:07--216990]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:07--831310]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:08--219556]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:08--866816]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:09--219106]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:09--862888]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:10--222523]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:10--863855]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:11--222686]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:11--865858]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:12--223132]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:12--872730]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:13--223867]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:13--866973]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:14--226155]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:14--867660]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:15--226257]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:15--870032]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:16--226561]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:16--869931]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:17--231155]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:17--882345]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:18--227637]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:18--883578]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:19--228751]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:19--905599]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:20--229143]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:20--905421]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:21--230019]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:21--921529]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:22--230163]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:22--907103]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:23--230769]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:23--930515]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:24--230961]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:24--931330]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:25--231941]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:25--931885]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:26--231819]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:26--954559]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:27--232756]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:27--955221]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:28--233028]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:28--955926]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:29--255366]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:29--956357]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:30--234308]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:30--962583]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:31--255538]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:31--963697]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:32--235074]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:32--963663]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:33--235670]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:33--965710]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:34--236148]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:34--965721]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:35--236918]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:35--967862]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:36--237022]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:36--967695]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:37--237641]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:37--968659]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:38--237643]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:38--969427]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:39--238399]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:39--972809]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:40--238456]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:40--970533]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:41--238943]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:41--977514]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:42--239088]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:42--971168]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:43--239478]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:43--972261]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:44--239891]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:44--972089]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:45--240579]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:45--973741]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:46--240913]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:46--972786]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:47--241655]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:47--974404]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:48--242158]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:48--973482]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:49--242546]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:49--974521]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:50--242562]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:50--974280]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:51--243039]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:51--975315]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:52--243293]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:53--025112]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:53--243532]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:53--976273]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:54--243539]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:54--975744]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:55--244159]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:55--977391]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:56--244286]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:56--977978]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:57--245030]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:57--978414]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:58--245025]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:58--981034]recv server 6 keeplive,current server is 2
[2015-03-20 10:11:59--245739]recv server 8 keeplive,current server is 2
[2015-03-20 10:11:59--979935]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:00--246055]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:00--979435]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:01--246376]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:01--980080]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:02--246992]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:02--980875]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:03--247217]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:03--985136]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:04--247097]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:04--983015]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:05--247911]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:05--983851]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:06--247985]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:06--984229]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:07--248496]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:07--984477]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:08--248480]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:08--984914]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:09--248741]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:09--985316]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:10--249359]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:10--985337]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:11--249950]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:11--985874]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:12--249843]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:12--986045]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:13--250144]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:13--986526]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:14--250566]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:14--986677]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:15--250764]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:15--987170]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:16--250923]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:16--987002]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:17--251063]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:17--987171]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:18--251104]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:18--987419]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:19--251537]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:19--988087]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:20--251976]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:20--988243]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:21--254931]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:21--988827]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:22--255253]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:22--989131]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:23--278127]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:23--989655]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:24--256453]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:24--990199]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:25--290608]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:25--990687]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:26--290705]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:27--008166]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:27--291440]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:27--992027]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:28--291920]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:28--992319]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:29--292785]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:30--006815]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:30--293111]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:31--030955]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:31--294010]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:32--032153]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:32--294919]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:33--032065]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:33--295928]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:34--032506]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:34--296411]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:35--033132]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:35--297323]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:36--034266]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:36--297660]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:37--042249]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:37--322568]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:38--034440]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:38--322877]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:39--035155]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:39--323109]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:40--035683]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:40--323601]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:41--036373]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:41--329933]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:42--050211]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:42--330371]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:43--050510]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:43--331140]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:44--051110]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:44--331305]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:45--051293]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:45--334337]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:46--051752]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:46--334710]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:47--051948]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:47--359762]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:48--052631]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:48--359495]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:49--053227]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:49--360242]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:50--053876]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:50--360702]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:51--054459]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:51--361101]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:52--054942]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:52--360840]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:53--055190]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:53--379344]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:54--055635]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:54--362180]recv server 8 keeplive,current server is 2
[2015-03-20 10:12:55--056401]recv server 6 keeplive,current server is 2
[2015-03-20 10:12:55--362956]recv server 8 keeplive,current server is 2
