[2015-03-20 00:09:26--967327]current cmd handler is 0,0xa08d870
[2015-03-20 00:10:19--998685]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:20--999361]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:22--000013]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:23--000103]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:24--000662]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:25--001323]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:25--202915]current cmd handler is 2,0xa08db90
[2015-03-20 00:10:26--001979]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:27--002689]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:28--003138]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:29--003467]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:30--004024]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:31--004424]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:32--005071]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:33--005822]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:34--006334]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:35--006901]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:36--007614]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:37--008133]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:38--008918]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:39--009399]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:40--010055]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:41--010636]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:42--011319]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:43--011861]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:44--012556]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:45--013116]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:46--013295]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:47--013369]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:48--014010]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:49--014607]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:50--015348]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:51--015835]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:52--016505]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:53--017075]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:54--047242]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:55--017881]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:56--018492]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:57--019078]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:58--019656]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:59--020315]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:00--021028]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:01--021578]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:02--022223]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:03--022795]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:04--023542]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:05--024050]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:06--024665]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:07--025347]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:08--025919]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:09--026591]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:10--027276]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:11--027811]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:12--028437]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:13--029040]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:14--029635]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:15--030276]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:16--030870]recv server 6 keeplive,current server is 1
[2015-03-20 00:11:17--031444]recv server 6 keeplive,current server is 1
[2015-
